incidentId,publishedAt,source,sourceUrl,incident_country,incident_city,incident_specific_location,victim_nationalities,approximateNumberOfVictims,demographicDetails,laborConditions,labor_type,operator_nationality,organizationNames,numberOfPerpetrators,scam_types,duration,scale,raidDetails,arrestsMade,victimRescueOperations,incidentDescription,investigationStatus,dateScraped,latitude,longitude
DOL-2024-01,2024-01-31,U.S. Department of Labor Blog,http://blog.dol.gov/2024/01/31/combating-labor-trafficking-at-home-and-around-the-world,United States,,"Georgia, Florida, Texas agricultural areas","['Mexican', 'Guatemalan', 'Honduran']",100,H-2A agricultural visa workers,Forced to dig onions bare-handed for $0.20 per bucket in unsanitary conditions,unknown,,[],0,"['Labor trafficking', 'Visa fraud']",,"Multi-state operation across Georgia, Florida, and Texas",,,DOL investigation and enforcement actions,Large-scale labor trafficking operation targeting H-2A visa workers for agricultural exploitation,ongoing,2024-02-14,,
KKP-2024-01,2024-01-29,Deutsche Welle (DW),https://www.dw.com/en/scam-factory-behind-asias-cyber-slavery/video-68116371,Myanmar,,"KK Park facility, Myanmar-Thailand border",['Various Asian nationalities'],1000,Trafficking victims forced into cyber slavery,"Forced to conduct online scams under threat of violence, reports of torture",unknown,Chinese,['Chinese Triads'],0,"['Online scams', 'Cyber fraud']",Ongoing since post-pandemic,Large-scale operation involving thousands of victims,,,International aid workers attempting rescues,Major cyber slavery operation run by Chinese Triads at Myanmar-Thailand border,ongoing,2024-02-14,,
MY2025021301,2025-02-13,Kyodo News,https://english.kyodonews.net/news/2025/02/2c9fbc307cca-over-260-foreigners-freed-from-forced-work-for-scammers-in-myanmar.html,Myanmar,Shwe Kokko,Myanmar-Thailand border region,"['China', 'Philippines', 'Ethiopia', 'Bangladesh', 'Brazil']",260,Nationals from approximately 20 countries,Forced labor with reports of torture including electric shocks for refusing to scam,unknown,Chinese,['Chinese-run syndicates'],0,['Online scams'],,International operation,Joint operation between Thai military and Myanmar's Democratic Karen Buddhist Army,,Over 260 foreigners rescued,Large-scale rescue operation of forced labor victims from scam center near Myanmar-Thailand border,closed,2024-02-22,,
MY2025022001,2025-02-20,ABS-CBN,https://www.abs-cbn.com/news/world/2025/2/20/myanmar-scam-center-survivors-recall-torture-and-coercion-1003,Myanmar,,Compounds controlled by armed groups,[],0,Hundreds of thousands trafficked globally,Forced to work 15-20 hours/day running investment/crypto scams,unknown,,['Armed groups'],0,"['Investment scams', 'Cryptocurrency scams']",,Global operation,,,,Survivors from Myanmar scam centers report systematic torture and coercion,ongoing,2024-02-22,,
OCSO-2024-03,2024-03-27,Oconee County Sheriff's Office,https://www.oconeelaw.com/post/oconee-county-sheriff-s-office-issues-third-march-2024-scams-update,United States,Oconee County,South Carolina,['American'],0,Local residents,,unknown,,[],0,"['Law enforcement impersonation', 'Jury duty scam']",,Local county level,,,Public warnings issued and incidents investigated,Scammers impersonating law enforcement officers called residents claiming warrants for missed jury duty and demanding payment via prepaid cards or Bitcoin,ongoing,2024-03-27,,
NASC-Q2-2024,2024-06-30,National Anti-Scam Centre,https://www.nasc.gov.au/system/files/NASC-quarterly-update-Q4-2024.pdf,Australia,,,['Australian'],0,General Australian public,,unknown,,[],0,['Investment scams'],Q2 2024 (April-June),"$330 million in financial losses, 41% decrease from previous year",,,Coordinated disruption efforts and public awareness campaigns,Quarterly report showing decreased financial losses from scams due to coordinated efforts,ongoing,2024-04-30,,
HSI-DR-2024-04,2024-04-30,U.S. Department of Homeland Security,https://www.dhs.gov/archive/hsi/news/2024/04/30/16-charged-connection-transnational-grandparent-scam-dominican-republic,Dominican Republic,,Call centers,['American'],0,Elderly U.S. residents,,unknown,Dominican,[],16,['Grandparent scam'],,Multi-state operation (New Jersey and New York),,16 individuals charged including Juan Rafael Parra Arias and associates,,Transnational grandparent scam operation targeting elderly U.S. residents,ongoing,2024-04-30,,
USIP-SEA-2024-05,2024-05-01,United States Institute of Peace (USIP),https://www.usip.org/sites/default/files/2024-05/ssg_transnational-crime-southeast-asia.pdf,Multiple,Multiple,"Compounds across Myanmar, Cambodia, Laos",['Multiple'],100000,Individuals targeted through online job advertisements,Forced to conduct online scams under prison-like conditions,unknown,Chinese,"['Gambling syndicates', 'Chinese organized crime groups']",0,"['Financial fraud', 'Cryptocurrency scams']",,Large-scale operations across multiple countries,,,Limited due to corruption and criminal adaptability,Large-scale trafficking operation forcing victims into online scam operations across Southeast Asia,ongoing,2024-05-01,,
USIP-TOWER-2024-05,2024-05-13,United States Institute of Peace (USIP),https://www.usip.org/publications/2024/05/jason-tower-dangerous-proliferation-scam-compounds-southeast-asia,Multiple,Multiple,Compounds in Myanmar and Cambodia,['Multiple'],0,IT and customer service job seekers,"Forced to work up to 20 hours/day, passports confiscated",unknown,Chinese,['Chinese crime syndicates'],0,"['Romance scams', 'Investment scams', 'Pig butchering scams']",,$64 billion annual operation,,,Limited success due to syndicate mobility,Industrial-scale scam compounds operating across Southeast Asia with forced labor,ongoing,2024-05-13,,
SEA_CRYPTO_2024_06,2024-06-11,Dark Reading,https://www.fraud-magazine.com/article.aspx?id=4295023858,Multiple Southeast Asian Countries,Various,Prison-like compounds with barbed wire,"['Chinese', 'Indian', 'Indonesian', 'Malaysian', 'Singaporean', 'Thai', 'Vietnamese']",149,Trafficking victims from various Asian countries,Forced to work up to 20 hours/day under threat of physical/sexual violence,unknown,Various Southeast Asian,['Organized crime syndicates'],281,['Cryptocurrency fraud'],Ongoing at time of report,Billions of dollars in cyber scams,Interpol-led raids across Southeast Asia,281 suspects arrested,149 trafficking victims rescued,Large-scale forced labor operation running cryptocurrency scams across Southeast Asia,ongoing,2024-06-11,,
